t,yaw,pitch,roll,g_horizontal,is_blinking,left_px,left_py,right_px,right_py,trial_index,stimulus_state,stimulus_angle_deg,stimulus_x,stimulus_y,fixation_x,fixation_y
1765400510.8687801,4.823327031225119,-178.91774900603997,-0.6771878138387721,0.547945205479452,0,984,522,1167,520,0,target,20.574153040835576,412,274,216,201
1765400511.002458,3.5666570869274503,-179.52357906049753,-0.440817566667052,0.5616438356164384,0,985,522,1167,521,0,target,20.574153040835576,412,274,216,201
1765400511.1343832,3.6911728557015,-178.99727188481145,-0.45241322424509345,0.5616438356164384,0,985,521,1167,520,1,center,,,,505,257
1765400511.2696562,5.521172444632744,-179.1059764933984,-0.16900277580910036,0.5608108108108107,1,985,522,1168,520,1,center,,,,505,257
1765400511.4029,2.6411071496542644,-179.4656763090174,-0.49118377250895673,0.5472972972972973,0,985,521,1167,520,1,center,,,,505,257
1765400511.534133,2.770647631205739,-179.35591267188605,-0.5501014908458177,0.5576638282117734,0,985,522,1167,520,1,center,,,,505,257
1765400511.6686752,2.2648649338388527,-179.5181131466581,-0.8990438772948144,0.5572072072072072,1,985,522,1168,520,1,center,,,,505,257
1765400511.8038101,6.278030437766761,-179.33747304446575,-0.6143779518211282,0.5648833765272121,0,985,521,1168,520,1,center,,,,505,257
1765400511.9306612,2.675881161141374,-179.1182156232345,-0.5954825474672111,0.5501801801801802,1,984,521,1168,520,1,center,,,,505,257
1765400512.073822,3.4604931430325907,-179.56197441226732,-0.3160577041173968,0.5547945205479452,0,984,522,1167,521,1,center,,,,505,257
1765400512.202209,2.2867344567598535,179.91053492454324,-0.397539138387922,0.554054054054054,0,984,522,1167,520,1,gap,,,,505,257
1765400512.3401558,7.224399621684394,-178.5877329047254,-0.6940783223954309,0.543965198074787,0,983,522,1167,520,1,gap,,,,505,257
1765400512.4739509,8.75550425291199,-179.2189830321157,-0.7678601190547674,0.5540540540540541,1,984,522,1168,520,1,target,85.78010247820434,520,466,505,257
1765400512.602098,7.462362289245495,-179.68875090032435,-0.6527145643933357,0.5508145131432802,0,984,522,1167,521,1,target,85.78010247820434,520,466,505,257
1765400512.727434,6.105967366333854,-179.53862282062258,-0.7054116851444528,0.5410958904109588,1,983,523,1166,521,1,target,85.78010247820434,520,466,505,257
1765400512.863758,3.8194709030289467,-179.51903191814716,-0.6376139730572778,0.5342465753424658,1,983,523,1165,521,1,target,85.78010247820434,520,466,505,257
1765400513.004662,6.361820155519319,-178.86630081581674,-0.303157596343014,0.5297368421052632,1,983,529,1167,525,1,target,85.78010247820434,520,466,505,257
1765400513.1354492,5.414285540791535,-178.88308525987762,-0.6060854550137352,0.5402739726027397,1,982,527,1167,525,1,target,85.78010247820434,520,466,505,257
1765400513.272518,5.250822276814189,-178.04333682374,-0.7780943452885941,0.5435135135135135,1,982,528,1166,526,1,target,85.78010247820434,520,466,505,257
1765400513.406513,6.151866314465619,-179.25375880648437,-0.4118199823483619,0.5378614916286149,1,983,528,1165,526,1,target,85.78010247820434,520,466,505,257
1765400513.5381272,5.343517010121584,-179.1185222579604,-0.5046548244100977,0.5402739726027397,1,983,527,1166,526,1,target,85.78010247820434,520,466,505,257
1765400513.671125,5.139583396464167,-178.58437374450375,-0.3211178579783253,0.5435135135135135,1,983,527,1166,526,1,target,85.78010247820434,520,466,505,257
1765400513.805931,3.7498244132803804,-178.6968649719378,-0.2979147707900857,0.533072546230441,1,982,527,1167,526,1,target,85.78010247820434,520,466,505,257
1765400513.9325938,5.1876109834102495,-178.5485472347274,-0.3407500406822743,0.5304516845612737,1,982,528,1166,526,1,target,85.78010247820434,520,466,505,257
1765400514.0687099,5.373622387674415,-178.6763716965348,-0.06733011335459224,0.5472972972972973,1,983,527,1167,526,2,center,,,,449,560
1765400514.205185,5.415405972248366,-178.31281909479435,0.13535412203224104,0.5366666666666666,1,982,527,1168,526,2,center,,,,449,560
1765400514.335957,3.52060512238509,-178.89643697026443,-0.2073528392505825,0.5515601217656012,1,983,527,1167,526,2,center,,,,449,560
1765400514.4738119,2.7370537992874224,-177.72380585418924,0.008032369207042101,0.5428947368421053,1,983,527,1168,526,2,center,,,,449,560
1765400514.602802,4.1223514499351035,-178.9099722956753,-0.15835994834061226,0.5435135135135135,1,983,528,1168,526,2,center,,,,449,560
1765400514.739468,1.8305324742580331,-177.06358544364323,0.2147612462790948,0.5333333333333333,1,984,529,1166,528,2,center,,,,449,560
1765400514.872423,0.9453411644761173,-178.1328502075754,0.3057104426068156,0.5333333333333333,1,985,530,1166,529,2,center,,,,449,560
1765400515.0084019,0.6951311260046246,-178.25377762518403,0.507583570478444,0.5435135135135135,1,986,530,1170,529,2,center,,,,449,560
1765400515.1380239,2.8409252014174187,-177.6852181989514,0.4356563643635046,0.5472972972972973,1,986,530,1171,529,2,gap,,,,449,560
1765400515.273203,1.4696145480769238,-178.12842614279717,0.631297017128397,0.5509070714550166,1,987,530,1170,529,2,gap,,,,449,560
1765400515.406752,4.873025117294718,-177.6699802540094,0.3132658933096905,0.5336073059360731,1,987,530,1170,529,2,target,12.066407677877246,586,586,449,560
1765400515.536026,1.8890164247734471,-178.29580968988944,0.347517742387742,0.54,1,987,530,1171,530,2,target,12.066407677877246,586,586,449,560
1765400515.669426,1.0597583942102478,-178.67126289329687,0.15002403347876245,0.5435135135135135,1,987,530,1171,529,2,target,12.066407677877246,586,586,449,560
1765400515.8076448,2.3325893187840014,-178.25159170286378,0.1330254509516925,0.5372084413180304,1,986,529,1171,529,2,target,12.066407677877246,586,586,449,560
1765400515.9354649,1.4851909371657612,-178.66865792914436,0.24951358973274465,0.5372084413180304,1,985,530,1170,530,2,target,12.066407677877246,586,586,449,560
1765400516.071318,2.888015998507533,-177.37309814916534,-0.07829774630685656,0.5296491228070176,1,983,531,1168,530,2,target,12.066407677877246,586,586,449,560
1765400516.208205,3.316358617557768,-177.43221779579832,0.2114084796689153,0.5264935988620199,1,983,531,1167,530,2,target,12.066407677877246,586,586,449,560
1765400516.340829,4.7796991217523415,-177.6112329609417,-0.2409333315779124,0.5273972602739726,1,982,532,1166,530,2,target,12.066407677877246,586,586,449,560
1765400516.473228,4.526580654752704,-177.82776627143988,0.3378742191226703,0.5367567567567568,1,981,532,1166,530,2,target,12.066407677877246,586,586,449,560
1765400516.621075,5.256218205486364,-177.62943115420413,-0.586127667851592,0.5363157894736843,1,981,533,1166,531,2,target,12.066407677877246,586,586,449,560
1765400516.777367,4.437404768859436,-178.00598539241955,-0.057448024555664085,0.5273972602739726,1,981,532,1166,532,2,target,12.066407677877246,586,586,449,560
1765400516.900821,4.181046883864416,-177.2151882933857,-0.11821140466044698,0.5234234234234234,1,981,532,1165,531,2,target,12.066407677877246,586,586,449,560
1765400517.039192,2.8888394354902354,-177.85401910715643,-0.2121173846303259,0.5337837837837838,1,982,532,1165,531,3,center,,,,212,497
1765400517.172374,3.777073977479743,-177.54236021317894,0.03402115555342944,0.527027027027027,1,981,533,1165,532,3,center,,,,212,497
1765400517.305344,4.234350022308863,-177.51901294351782,-0.5396857016640433,0.52,1,981,533,1165,531,3,center,,,,212,497
1765400517.4388669,3.6661012467339096,-178.1063830049148,0.08358982220692145,0.5405405405405406,1,982,533,1169,532,3,center,,,,212,497
1765400517.572309,4.75505830351149,-177.4304872818918,-0.08817351652089107,0.5702702702702702,1,985,532,1171,532,3,center,,,,212,497
1765400517.709127,2.9516011978436247,-177.93021325596268,0.32377131264055475,0.5739726027397261,1,986,533,1172,532,3,center,,,,212,497
1765400517.84001,2.223986472089536,-177.68175539419593,0.1387066977249268,0.577027027027027,1,988,533,1173,532,3,center,,,,212,497
1765400517.969146,2.0154962632978437,-177.57307426195356,0.08693826256894038,0.5866666666666667,1,988,532,1176,533,3,center,,,,212,497
1765400518.106574,2.3488927225585923,-177.7928206283398,0.1469187335882383,0.5933333333333333,1,988,532,1177,533,3,gap,,,,212,497
1765400518.239535,3.5981181339552593,-177.31269897600902,0.09813084772897848,0.5743243243243243,1,989,532,1174,532,3,gap,,,,212,497
1765400518.376671,3.4572475927270894,-177.6556741647628,0.2597539120847235,0.5798364153627311,1,990,532,1174,532,3,target,159.4884661056415,15,570,212,497
1765400518.5071201,2.602552008391982,-177.75540114855647,0.11297308567907169,0.5703603603603604,1,989,532,1174,532,3,target,159.4884661056415,15,570,212,497
1765400518.6420648,4.563253973450655,-176.70734518211856,0.46767737847458946,0.576140350877193,1,991,532,1175,531,3,target,159.4884661056415,15,570,212,497
1765400518.774539,1.1805062986888863,-177.52203892791402,0.7035040229923258,0.5810810810810811,1,991,532,1175,532,3,target,159.4884661056415,15,570,212,497
1765400518.9016151,3.00038888414466,-177.57333469517133,0.339564697998159,0.5838738738738738,1,992,532,1176,532,3,target,159.4884661056415,15,570,212,497
1765400519.031023,2.378025287468725,-176.93032457803653,0.401686614502222,0.5798364153627311,1,992,533,1177,533,3,target,159.4884661056415,15,570,212,497
1765400519.164895,3.2181619624594155,-176.29263202599734,0.4177992727196487,0.6266666666666667,1,992,534,1184,533,3,target,159.4884661056415,15,570,212,497
1765400519.299584,2.058800805956716,-175.20880193290685,1.0125903959153424,0.618421052631579,1,992,534,1184,534,3,target,159.4884661056415,15,570,212,497
1765400519.441112,5.178752571434909,-174.19248083516777,1.510994851507438,0.581596035543404,1,992,534,1177,535,3,target,159.4884661056415,15,570,212,497
1765400519.576084,6.476077099118991,-174.16554727889044,1.733508542967734,0.5869963369963369,1,993,535,1178,536,3,target,159.4884661056415,15,570,212,497
1765400519.70786,4.044218129265001,-173.15358920668854,1.7453812944710174,0.589511754068716,1,993,534,1178,536,3,target,159.4884661056415,15,570,212,497
1765400519.844358,4.458645951379606,-173.90567543090643,1.5838809999352634,0.5946684894053316,1,993,535,1178,536,3,target,159.4884661056415,15,570,212,497
1765400519.973255,5.97368501128872,-174.60183650906666,1.0349467225503541,0.5983549783549784,1,992,535,1178,536,4,center,,,,577,64
1765400520.106924,5.704459115175212,-175.65073153896176,0.5632444780242194,0.5985281385281385,1,992,536,1177,536,4,center,,,,577,64
1765400520.237761,6.048055033723015,-174.94348313267983,0.041412556116423326,0.5892982456140351,1,992,536,1177,536,4,center,,,,577,64
1765400520.377289,8.639619322583984,-174.44301230028822,-0.13453126518119649,0.546060606060606,1,991,531,1173,531,4,center,,,,577,64
1765400520.500206,6.233813232042568,-176.1180304786933,0.6368043273776024,0.5422932330827068,0,988,528,1174,529,4,center,,,,577,64
1765400520.638607,5.887335651785574,-176.39478146654073,0.9059437448035018,0.5392207792207793,0,987,528,1172,529,4,center,,,,577,64
1765400520.774467,5.589454177547811,-175.34821526816708,1.3903865630190002,0.5488721804511278,0,987,527,1172,529,4,center,,,,577,64
1765400520.908303,4.495392479479879,-175.39071414523943,1.3801123843046916,0.5457142857142857,0,987,527,1172,528,4,center,,,,577,64
