t,yaw,pitch,roll,g_horizontal,is_blinking,left_px,left_py,right_px,right_py,trial_index,stimulus_state,stimulus_angle_deg,stimulus_x,stimulus_y,fixation_x,fixation_y
1765400614.2010958,6.848518907229721,177.10996662011235,-0.10710476970794786,0.6007692307692307,1,967,505,1155,506,1,center,,,,15,538
1765400614.33432,9.665311123909246,177.10768793458135,-0.24884586056844313,0.5954720954720955,1,968,505,1156,506,1,gap,,,,15,538
1765400614.4679549,6.281488424065893,176.6409309285696,0.13403285487577962,0.6178354978354978,1,968,505,1159,507,1,gap,,,,15,538
1765400614.602852,7.985247753344442,176.81871162816537,-0.25610711433780026,0.6111688311688313,1,968,505,1160,506,1,target,148.29969978621637,14,586,15,538
1765400614.7370722,8.576078619673815,177.14881213892335,0.14415938043098736,0.603950103950104,1,968,504,1160,506,1,target,148.29969978621637,14,586,15,538
1765400614.871413,8.47108699620202,177.17548563082232,-0.4896469894926677,0.6127311522048364,1,968,504,1160,506,1,target,148.29969978621637,14,586,15,538
1765400614.9934819,6.255967058972167,176.95025311749353,-0.3110625651241135,0.618008658008658,1,969,504,1160,506,1,target,148.29969978621637,14,586,15,538
1765400615.1259031,6.94595995845962,177.12708073919197,-0.09355806413077467,0.6113419913419913,1,969,505,1160,506,1,target,148.29969978621637,14,586,15,538
1765400615.26989,6.03895508743377,177.3928594999075,0.20817856519467712,0.622638326585695,1,970,506,1163,508,1,target,148.29969978621637,14,586,15,538
1765400615.403585,9.142732780268936,177.76128296535092,0.049293824809956865,0.5925102294965309,1,970,506,1159,508,1,target,148.29969978621637,14,586,15,538
1765400615.5330648,10.219198427759904,177.573530290481,-0.08838443837550859,0.6081958581958582,1,970,506,1162,508,1,target,148.29969978621637,14,586,15,538
1765400615.674266,8.237754379559192,177.8249941783689,-0.16607166370393564,0.6214461214461214,1,971,506,1163,508,1,target,148.29969978621637,14,586,15,538
1765400615.803803,8.297801763683777,177.2604272843002,-0.14701068953021904,0.6229271809661139,1,970,506,1163,508,1,target,148.29969978621637,14,586,15,538
1765400615.931322,10.800452179871511,177.5053461527338,-0.1172401666587971,0.6235273735273735,1,971,506,1163,508,1,target,148.29969978621637,14,586,15,538
1765400616.073355,7.481639846758293,177.05743852515346,-0.09220415109866367,0.6241558441558441,1,970,506,1164,509,1,target,148.29969978621637,14,586,15,538
1765400616.2028759,7.559826397523215,176.9604096893362,-0.11723332495517863,0.6229271809661139,1,970,506,1164,508,2,center,,,,168,324
1765400616.328747,9.155484754474628,177.4901871076944,0.018804935809972025,0.6066666666666667,1,970,505,1163,508,2,center,,,,168,324
1765400616.4737642,8.072422652914659,176.800257142622,-0.22436839467700512,0.614952614952615,1,971,506,1163,508,2,center,,,,168,324
1765400616.603369,7.3991889125476495,176.69939685470604,0.028111052618353196,0.5992176386913229,1,970,504,1163,507,2,center,,,,168,324
1765400616.738671,8.777571066119833,177.4106543552699,-0.12746586785741132,0.5647955647955647,1,969,502,1158,503,2,center,,,,168,324
1765400616.8727748,8.406451139244039,177.03299213086223,0.18977853780650536,0.5631759192501802,0,970,500,1157,502,2,center,,,,168,324
1765400617.03806,8.872029877144971,177.0215076181061,-0.009159413800899624,0.566145092460882,0,969,500,1157,502,2,center,,,,168,324
1765400617.171134,7.039009925421867,177.25066629309288,0.05136491154264326,0.5619446343130554,0,969,500,1157,501,2,center,,,,168,324
1765400617.302926,7.671716177175918,177.4051913014758,0.17728145641992632,0.5943267259056733,0,969,500,1162,501,2,gap,,,,168,324
1765400617.440398,12.49385478068157,177.40886935693243,-0.2016839952504892,0.5615384615384615,1,970,501,1157,502,2,gap,,,,168,324
1765400617.568768,8.557578280537948,176.84269742378277,0.2007243201712182,0.5631759192501802,0,970,500,1157,502,2,target,283.9646105517852,218,120,168,324
1765400617.704565,9.647830082634199,177.31450820150698,-0.011690734273871673,0.607932607932608,0,970,500,1163,502,2,target,283.9646105517852,218,120,168,324
1765400617.8384058,10.005256814804456,176.83765918475686,0.03765831641000735,0.5622148122148122,0,970,500,1158,502,2,target,283.9646105517852,218,120,168,324
1765400617.969853,11.38326616515931,176.93080630782728,-0.12911989332197005,0.566145092460882,0,970,500,1158,502,2,target,283.9646105517852,218,120,168,324
1765400618.10144,7.691464194646818,176.77741940845982,0.14809969815205176,0.5701801801801801,0,970,498,1158,500,2,target,283.9646105517852,218,120,168,324
1765400618.235523,7.462928076252388,177.04484793377253,0.029082860679942445,0.5653679653679653,0,970,496,1158,498,2,target,283.9646105517852,218,120,168,324
1765400618.372073,6.225336302009959,176.47957115024312,0.009140449882131892,0.5789473684210527,0,971,497,1158,499,2,target,283.9646105517852,218,120,168,324
1765400618.505277,8.178891285255967,176.95783606225805,-0.03455227661454979,0.566145092460882,0,970,497,1158,499,2,target,283.9646105517852,218,120,168,324
1765400618.635178,8.211850341316214,177.29262343363075,-0.11163349608009666,0.5587012987012987,0,970,497,1158,498,2,target,283.9646105517852,218,120,168,324
1765400618.7718499,3.8733048154952954,176.99677671801606,0.24544870086553355,0.5733333333333333,0,970,497,1159,499,2,target,283.9646105517852,218,120,168,324
1765400618.9062998,4.99476185057337,176.66167386602106,0.5926040977276733,0.5729018492176388,0,971,497,1159,499,2,target,283.9646105517852,218,120,168,324
1765400619.037625,5.209466616855001,176.94509699298084,0.28552373327084246,0.5749316473000683,0,971,497,1159,499,2,target,283.9646105517852,218,120,168,324
1765400619.171714,5.667516840648502,176.51208656719405,0.5124361426135416,0.5862375533428166,0,972,497,1160,500,3,center,,,,61,379
1765400619.304673,3.5506526860845424,176.93241358024463,0.5727400316619602,0.5860597439544808,0,972,497,1161,500,3,center,,,,61,379
1765400619.4375849,6.938387674182297,176.87185093386182,0.2651347291435098,0.5804566210045663,0,972,497,1161,500,3,center,,,,61,379
1765400619.572165,6.373702519559014,176.8390920551011,0.30727314031651587,0.5794807965860598,0,973,498,1161,500,3,center,,,,61,379
1765400619.706771,6.729492785160957,176.71332111976045,0.7412326253913397,0.6008219178082193,1,976,504,1165,507,3,center,,,,61,379
1765400619.838096,8.150672764006162,176.81352775189825,0.5269250878823223,0.5968817591925017,1,977,503,1164,506,3,center,,,,61,379
1765400619.972123,6.295254681248671,176.59940311472945,0.5765538052533682,0.5892105263157895,1,976,502,1165,505,3,center,,,,61,379
1765400620.104954,5.372010657868638,176.55354419693901,0.6350117923203125,0.5789473684210527,1,975,502,1164,505,3,center,,,,61,379
1765400620.234347,6.717197433171897,176.35094906575003,0.4358716416286522,0.5768745493871665,1,975,503,1162,505,3,gap,,,,61,379
1765400620.376639,6.736525236069068,176.89053155906913,0.3675592050045429,0.5787012987012987,1,975,502,1162,504,3,gap,,,,61,379
1765400620.505785,9.139021819379527,176.67438995533422,0.36593508433204625,0.577027027027027,1,975,503,1162,505,3,target,136.75038312956866,14,522,61,379
1765400620.638589,9.978814187983856,177.1574588923707,0.27108920064308967,0.5862375533428166,1,975,502,1163,505,3,target,136.75038312956866,14,522,61,379
1765400620.773216,8.845283385804576,176.48204167253513,0.21749063338886182,0.5892105263157895,1,975,502,1163,505,3,target,136.75038312956866,14,522,61,379
1765400620.907296,5.722282539749618,176.40214412632986,0.7109265435489578,0.5796586059743954,1,974,502,1162,505,3,target,136.75038312956866,14,522,61,379
1765400621.039096,8.543698587935584,176.9464211017159,0.5542984480594487,0.6210045662100456,1,975,505,1165,510,3,target,136.75038312956866,14,522,61,379
1765400621.17551,9.238327459785268,176.37548900817154,0.5084608506437033,0.614337899543379,1,976,506,1165,509,3,target,136.75038312956866,14,522,61,379
1765400621.3032022,2.8902437770930662,176.7500807660808,0.868496362042759,0.6000000000000001,1,976,505,1164,508,3,target,136.75038312956866,14,522,61,379
1765400621.441196,5.8260342682719095,176.88673693987738,0.5905352917234857,0.5945830485304169,1,976,505,1165,508,3,target,136.75038312956866,14,522,61,379
1765400621.572347,4.883101045691558,176.3892514398404,0.8890280852921185,0.6000000000000001,1,977,505,1165,509,3,target,136.75038312956866,14,522,61,379
1765400621.705728,4.7430319381770465,177.2454964741621,0.9723169696243495,0.6048484848484849,1,977,505,1166,509,3,target,136.75038312956866,14,522,61,379
1765400621.836954,6.786282516540446,177.0188684451026,0.7290709792932701,0.5958771929824562,1,977,505,1165,508,3,target,136.75038312956866,14,522,61,379
1765400621.968672,4.226847203312156,176.5775364036214,0.7608540080222199,0.5986842105263158,1,978,505,1165,509,3,target,136.75038312956866,14,522,61,379
1765400622.103374,3.856163474973018,176.75656793836703,1.163530356512913,0.5945830485304169,1,977,505,1166,509,4,center,,,,509,545
1765400622.239706,5.45606175649616,176.8129758838353,0.9438862851710308,0.6024561403508772,1,977,505,1166,509,4,center,,,,509,545
1765400622.3701272,5.682286187155741,176.92921118379112,0.95314961271532,0.5916883116883117,1,977,505,1166,509,4,center,,,,509,545
1765400622.498424,5.6617919064355196,177.21358965144006,0.8166771434958131,0.5978354978354978,1,975,505,1168,510,4,center,,,,509,545
1765400622.641935,4.870218420105614,177.3708067827617,1.0706785717822356,0.5794807965860598,1,974,507,1165,510,4,center,,,,509,545
1765400622.7726982,7.855594291248679,177.4963194189822,0.3539868456408507,0.5523809523809524,1,971,507,1159,511,4,center,,,,509,545
1765400622.908993,8.127459807833098,177.52274491134716,0.6827376469322483,0.5424710424710424,1,970,508,1159,511,4,center,,,,509,545
1765400623.0391302,6.129840759945422,177.08813678156326,0.6683718666416169,0.5362280701754386,1,969,508,1158,511,4,center,,,,509,545
1765400623.173552,7.83484325473363,177.44291759776053,0.7246366513537258,0.5366666666666666,1,969,508,1158,511,4,gap,,,,509,545
1765400623.3056,9.791615701504792,177.83120575041008,0.7751195676328122,0.5092137592137592,1,968,508,1158,511,4,gap,,,,509,545
1765400623.441625,7.899323748172224,177.69750605229143,0.6943187187562473,0.5192207792207792,1,969,509,1159,512,4,target,235.29086345261328,389,372,509,545
1765400623.573901,8.996392375736288,177.69150530121163,0.8160564601770962,0.5325541125541126,1,970,509,1159,513,4,target,235.29086345261328,389,372,509,545
1765400623.708447,7.22278811210359,177.22644428206857,1.022665042015586,0.5422932330827068,1,971,509,1159,513,4,target,235.29086345261328,389,372,509,545
1765400623.841184,6.755638328290429,177.8812394671566,0.9174405638145144,0.5487867395762133,1,971,509,1161,512,4,target,235.29086345261328,389,372,509,545
1765400623.974157,2.3684414590309015,178.09177324880008,1.2649073903631898,0.5649350649350648,1,972,508,1162,511,4,target,235.29086345261328,389,372,509,545
1765400624.1094558,6.161828080289061,177.70685539170304,1.098374409554505,0.539047619047619,1,973,507,1160,510,4,target,235.29086345261328,389,372,509,545
1765400624.2383392,4.948677097627373,177.2493310847654,0.898693694275338,0.55009009009009,1,973,507,1161,510,4,target,235.29086345261328,389,372,509,545
1765400624.3984,5.568101480312829,177.38902036921013,1.195942958411687,0.5487867395762133,1,973,506,1162,510,4,target,235.29086345261328,389,372,509,545
