t,yaw,pitch,roll,g_horizontal,is_blinking,left_px,left_py,right_px,right_py
1763482580.950175,nan,nan,nan,nan,0,nan,nan,nan,nan
1763482581.113476,nan,nan,nan,nan,0,nan,nan,nan,nan
1763482581.2652328,-12.124334456566299,169.81492000795205,2.936193541272494,0.5305128205128204,0,926,614,1114,618
1763482581.466109,-14.378035817183795,168.4052738460484,2.984147379467113,0.6181434599156118,0,928,615,1114,621
1763482581.6007302,-13.93897808111444,169.46136510746226,2.287205926630777,0.5700000000000001,0,915,607,1107,626
1763482581.768647,-11.581828776949216,169.0417810367222,2.1082572010153147,0.5757828114590273,0,910,617,1103,628
1763482581.910775,-12.237659932360751,168.5980829802681,2.3132166068627193,0.5934253246753247,0,910,616,1100,618
1763482582.044126,-11.298115056666083,168.44371789093023,2.1719659119531243,0.5956410256410256,0,910,617,1098,619
1763482582.205003,-10.820656239093038,167.93608924154833,1.8832724284569,0.5968272234095019,0,909,617,1097,619
1763482582.374124,-10.029373414793174,169.01780107535,2.008673218689158,0.5931818181818183,0,910,617,1097,619
1763482582.508224,-10.196231140800364,168.65039982193372,2.08205348642273,0.6332445036642238,0,913,617,1102,620
1763482582.642907,-11.358593741685572,168.39948313568115,2.0524539839908473,0.6585081585081585,0,914,618,1105,620
1763482582.774189,-12.125709177614704,167.9843170708164,2.3735553218069474,0.6501349527665317,0,914,618,1103,622
1763482582.901406,-10.809559144160827,168.63446730083368,2.302985224702851,0.6316558441558442,0,914,618,1103,622
1763482583.038723,-9.629615949503574,169.06788049261763,2.080353635106353,0.6318993506493507,0,912,618,1104,621
1763482583.173377,nan,nan,nan,nan,0,nan,nan,nan,nan
1763482583.3094249,nan,nan,nan,nan,0,nan,nan,nan,nan
1763482583.445329,-10.082374164431108,169.14592229393523,2.1979350924473477,0.5947701532311792,0,908,618,1098,620
1763482583.574165,-11.663794065036024,168.86328202617102,2.1217013227290904,0.6159789577511097,0,909,618,1097,620
1763482583.714402,-10.51273207012662,169.40445059375907,2.0397326648339833,0.6010992671552299,0,908,617,1099,620
1763482583.840416,-11.649321199629512,168.03867665221446,2.2588088229452685,0.6074283810792804,0,909,618,1097,621
1763482583.9815402,-11.231713599319324,169.09243912593305,2.361765158613409,0.6541025641025642,0,913,619,1098,627
1763482584.10745,-12.974504102841603,169.98450190984997,2.780274056523622,nan,0,nan,nan,nan,nan
1763482584.2461178,-12.917027394721579,169.95899410090342,2.8788974170695005,0.535453216374269,0,904,617,1093,619
1763482584.3770702,-14.926418294666842,170.64519887483706,2.8560930215044684,0.5145881515744529,0,902,616,1089,617
1763482584.515407,-13.972879178824998,171.40427114867342,2.714333011164121,0.48818565400843883,0,901,615,1088,617
1763482584.6448379,-13.17596991551038,170.21496585775145,2.108892986763462,0.49743589743589745,0,899,615,1087,617
1763482584.780431,-12.64596187409452,169.8678228497592,2.2972177540940915,0.5006930006930006,0,900,615,1086,617
1763482584.915167,-13.405837889630764,169.40122168285714,2.217481222771925,0.5075105485232068,0,900,615,1087,617
1763482585.0451798,-13.355598718117987,171.02371623171277,2.3269705209083753,0.4912558294470353,0,899,615,1087,617
1763482585.1760151,-13.684986168532872,169.62188437008683,2.3016913782971113,0.4944078947368421,0,898,616,1086,618
1763482585.316376,-12.789889375127458,169.26238829879364,2.138276862944697,0.48818565400843883,0,899,616,1086,618
1763482585.445363,-10.864365535285568,169.78638428006656,1.97284781670815,0.4973351099267155,0,898,616,1086,618
1763482585.5792582,-13.72348875735638,169.35976185286822,2.420434950770937,0.4815789473684211,0,897,615,1084,618
1763482585.715401,-14.74860765686686,170.56404972172922,2.536902268830406,0.47809793471019324,0,896,616,1083,618
1763482585.847132,-12.797130498404227,169.873729722067,2.483910476336112,0.5658227848101265,0,904,614,1091,617
1763482585.984153,-13.596060886543647,170.39963388840218,2.6529290680803705,0.5687041972018654,0,903,615,1092,617
1763482586.109612,-10.694925096836783,169.4428167201365,2.0090008490783937,0.5612012987012986,0,903,615,1092,617
1763482586.245904,-11.390012491869692,169.17612239378968,2.250279475017429,0.5691666666666666,0,904,615,1093,617
1763482586.3796082,-12.612735946033537,169.8141760196725,2.5185371278405944,0.5766335956209374,0,904,616,1093,618
1763482586.517209,-11.658271451793542,170.05848223306577,2.4577890047289395,0.5654320987654321,0,905,616,1093,618
1763482586.6483378,-10.759115831386175,168.89903898764766,2.4607959093940353,0.5876915389740174,0,910,615,1098,618
1763482586.7812932,-11.953048493940521,169.7559186327466,2.7923841096535424,0.5931818181818183,0,915,614,1102,617
1763482586.913298,-10.914455272733532,170.00864369122985,2.468025942684634,0.6466249799583133,0,919,612,1108,616
1763482587.049268,-9.95068095978122,169.951197323898,2.016619364433152,0.6466249799583133,0,916,614,1105,616
1763482587.177352,-11.166113471741397,168.82168573084576,2.600197706752621,0.5716156325543916,1,933,614,1124,617
1763482587.3142898,-10.771163236393791,168.77532087883515,3.3060703028566274,0.47674203113417346,0,979,588,1158,600
1763482587.444934,-13.136901147881703,167.87968973799894,6.204643905174355,0.6175324675324676,0,1051,593,1219,611
1763482587.582888,-16.819084064730788,169.10658692390564,7.720962401795756,0.6508139747576367,0,1078,590,1256,617
1763482587.713435,-15.962025083455504,169.26266585772885,7.442337600958992,0.617528129395218,0,1085,591,1261,603
1763482587.8486028,-16.962445349702463,170.20753549979398,7.167885162218128,0.6705128205128206,0,1080,592,1258,609
1763482587.982342,-16.362859579938544,169.8646046454403,6.380390061540264,0.5391174402250352,0,1051,590,1233,604
1763482588.113926,-14.229385501977866,169.63695130874189,5.36280341059413,0.5544871794871795,0,1041,595,1220,604
1763482588.2479832,-15.178237974521927,169.99743409517197,5.462996836014344,0.5690506676422169,0,1040,596,1220,608
1763482588.380314,-17.36508584957149,169.97681446097948,5.724260482163002,0.6379672006102213,1,1056,611,1237,623
1763482588.516375,-16.895849428851562,169.48247278025923,5.960510307208264,0.6232114467408585,1,1064,606,1245,617
1763482588.644087,-15.962714350032835,169.09064894821887,6.669667286334572,0.6178695563279493,1,1087,604,1267,620
1763482588.781781,-15.416331498511795,170.98995339453643,6.299675556111888,0.6005121638924455,0,1092,604,1287,619
1763482588.914217,-14.725692155202905,170.44526069207953,6.524758496543864,0.6116452991452992,0,1096,602,1289,609
1763482589.049846,-14.908800411086503,169.76716971140638,6.1387665029009675,0.5763950793367802,0,1098,603,1281,608
1763482589.177985,-14.813705808982462,170.8589088188261,5.589373163286297,0.5706006322444679,0,1088,604,1269,606
1763482589.314621,-16.18455391230093,170.9601916204814,6.025841911488593,0.5572186110160794,0,1082,603,1263,609
1763482589.443424,-13.661416880567803,169.52962719795778,5.655798650212513,0.6083333333333334,0,1077,603,1262,606
1763482589.579753,-14.64074922322855,170.63205374836323,5.8138261662855015,0.5701481616974575,0,1071,604,1257,607
1763482589.715924,-15.120380150289362,171.24975948893996,4.68214680607017,nan,0,nan,nan,nan,nan
1763482589.849698,-16.473447484935292,172.11191433969407,5.5183187856608455,nan,0,nan,nan,nan,nan
1763482589.9814222,-16.738758770186365,172.42400054572778,3.945558466787116,0.47637085137085133,0,1015,636,1196,627
1763482590.112034,-2.7357761891627073,175.1960021059713,1.513885127709262,0.5919540229885057,1,992,622,1194,622
1763482590.2514539,-14.70480530507189,172.7968668063699,3.3384995515177365,0.650801687763713,0,974,619,1164,625
1763482590.379271,-14.122562774135847,171.3123653126748,3.260051937190705,0.6831223628691983,0,970,618,1159,626
1763482590.519,-15.74697189886383,171.95966123066955,3.494927484613394,0.6758928571428571,0,972,618,1163,623
1763482590.6419132,-15.573436034337602,172.22735993623056,3.9338296217863644,0.6782978014656895,0,977,617,1169,619
1763482590.784968,-16.739949922908906,172.74255262755455,3.8850085774539793,0.6513445903689806,0,980,617,1172,623
1763482590.9143732,-16.595797065188147,173.11818896045258,4.072607943163594,0.654795821462488,0,982,618,1174,624
1763482591.048904,-9.83368000666956,175.65267251515965,2.9409953321471605,0.5755215985894799,0,982,618,1174,620
1763482591.179311,-15.069073761866026,171.84446826649497,3.873797938416551,0.6469725054062403,0,981,617,1173,624
1763482591.320012,-10.57939943048022,174.2511265792995,3.0262529356930363,0.6259409816320385,0,983,618,1181,620
1763482591.442076,-15.506159220935354,171.50037916730176,4.114047126540049,0.6594068582020389,0,984,616,1175,624
1763482591.576876,-4.869510981074687,173.65959365762245,2.8870873970764954,0.5681818181818182,1,987,623,1175,629
1763482591.705191,-14.388030261500122,172.70877317291908,4.184503559941679,0.6407728074394741,0,984,616,1178,625
1763482591.83786,3.5696691070809154,170.4705230906629,2.1656395363763044,0.5150474525474525,1,983,616,1185,620
1763482591.981239,2.7467716519373737,172.29933910343743,2.6475937101316362,0.5206896551724138,1,981,616,1183,620
1763482592.115576,-15.605903008449266,171.58293347288426,4.407023581645981,0.5956389289722623,0,976,615,1166,623
1763482592.283633,-14.84373822818208,171.4491145107689,4.1189936808838885,0.46735456324497415,0,965,619,1154,626
1763482592.411268,-14.01771799625176,170.44787023080926,3.568661387764262,0.4682432432432433,0,964,619,1153,626
1763482592.538597,-14.008471202884989,171.3684152583281,3.7478657186289492,0.47875,0,962,622,1152,628
1763482592.67922,-14.793687327527511,171.4536043083469,3.5321800103705265,0.5009868421052632,0,960,623,1149,630
1763482592.81886,-12.39997757120994,170.68518041340252,3.4150524416773824,0.48077922077922075,0,957,624,1147,630
1763482592.9451342,-13.203071173596923,171.02277586584754,3.655432079471596,0.48110661268556004,0,956,623,1145,627
1763482593.086302,-12.855444669710687,171.3488161013593,3.512990137554843,0.49102564102564106,0,955,623,1144,628
