t,yaw,pitch,roll,g_horizontal,is_blinking,left_px,left_py,right_px,right_py
1763407257.210005,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407257.342059,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407257.4767842,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407257.609865,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407257.742801,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407257.876957,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407258.010272,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407258.142323,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407258.276913,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407258.4097888,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407258.542453,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407258.677016,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407258.810682,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407258.942774,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407259.0769029,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407259.2098181,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407259.3412402,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407259.476751,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407259.6098409,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407259.7427,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407259.876342,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407260.009679,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407260.142425,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407260.27535,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407260.410126,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407260.542838,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407260.677751,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407260.810436,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407260.943189,nan,nan,nan,nan,0,nan,nan,nan,nan
