t,yaw,pitch,roll,g_horizontal,is_blinking,left_px,left_py,right_px,right_py
1763404393.93451,-2.652080815120922,178.39695373667038,-1.8992754107808152,0.6358695652173914,0,914,429,1151,423
1763404394.066575,-4.925313091976663,177.37372282946924,-1.7599012302971138,0.5384057971014493,0,903,427,1137,424
1763404394.1998012,-1.5599497471491814,176.16350715915945,-2.072236242624119,0.6388888888888888,0,916,423,1137,418
1763404394.3349361,-1.4349021082326676,173.62507893284294,-3.3897526707314207,0.665062817428495,1,924,417,1139,410
1763404394.466581,0.2370157325368801,173.2122576367468,-3.693700337542398,0.6648671096345515,1,933,419,1148,412
1763404394.59831,1.0253150420826729,172.85662054939178,-3.4834718783311707,0.6944045911047346,0,941,422,1162,417
1763404394.733481,1.3891275467435729,172.14604958690757,-3.3606420932981425,0.6845499645641389,0,940,422,1162,416
1763404394.8673332,4.4037043957260815,172.38548395505583,-4.343439989076756,0.7047038327526132,0,937,424,1158,418
1763404395.000279,0.5265531065944671,173.995676498742,-2.8207618904220455,0.5866322432587493,1,918,419,1150,414
1763404395.133792,-1.0284104820211122,174.48847309485305,-3.1740937039311974,0.6046511627906976,1,916,418,1149,413
1763404395.301335,0.42947507199369817,174.0213557286475,-2.7697806995167746,0.7313953488372094,1,939,421,1153,416
1763404395.433166,-1.4612138534599337,172.54767037860793,-2.913047067724912,0.5227272727272727,1,899,423,1165,419
1763404395.5674398,-2.7005384354689506,172.55291623096036,-2.234715635285122,0.7185169248422261,1,948,426,1170,423
1763404395.702949,-9.786518957447672,174.50740969522076,-2.1432484622042014,nan,0,nan,nan,nan,nan
1763404395.8339992,-8.607498370368505,175.1677853160806,-1.6722499421401575,0.6686046511627908,1,952,422,1172,417
1763404395.9664772,-8.475281736771798,175.80614954820214,-2.3177104214320274,0.686046511627907,0,954,424,1172,417
1763404396.1015291,-6.632684216708338,174.33940824766643,-1.7549457236207966,nan,0,nan,nan,nan,nan
