t,yaw,pitch,roll,g_horizontal,is_blinking,left_px,left_py,right_px,right_py,trial_index,stimulus_state,stimulus_direction
1763480490.523167,-27.6843854990768,-167.54564187783873,-170.1439860838833,0.5806896551724138,0,746,601,855,627,0,center,left
1763480490.745485,-32.32332345683349,-174.78893646393843,14.46985665446033,0.5687830687830687,0,748,612,864,633,0,center,left
1763480490.877687,-24.880026349609032,178.84103354854082,16.778513142387286,0.5923831070889893,0,741,634,868,665,0,center,left
1763480491.011177,-26.626938723228648,178.6980188038442,17.037320533302882,0.6342229199372056,0,747,634,873,665,0,center,left
1763480491.146046,-26.595372258841653,178.6309415724542,17.109953468215448,0.6268382352941176,0,746,624,873,656,0,center,left
1763480491.278365,-25.499542195287177,178.99347258767577,17.59990132805511,0.616326530612245,0,743,620,869,653,0,center,left
1763480491.411409,-26.05690266583748,177.96377155647326,17.57261513201505,0.6268382352941176,0,740,621,865,652,0,center,left
1763480491.559581,-24.15379604076355,-179.94264849627174,16.77957564623524,0.6041176470588235,0,763,594,890,626,0,gap,left
1763480491.688179,-23.4310961074042,-179.46817161459677,16.29683513004504,0.6156122826489085,0,808,572,936,603,0,gap,left
1763480491.823618,-23.105021016541407,-178.46589895100712,15.470058582405,0.601998491704374,0,836,556,964,588,0,target,left
1763480491.948342,-30.018998470242003,-174.0578708006282,14.66024583274856,0.534377998081228,0,867,543,995,574,0,target,left
1763480492.082447,-29.726650019728798,-177.64324278005634,16.451565541507406,0.56,0,872,533,999,567,0,target,left
1763480492.2156951,-30.051964362454047,-174.0573704938873,15.390914693076857,0.49760153501758875,0,870,532,997,563,0,target,left
1763480492.352649,-31.50709186111723,-175.70901837746663,16.267668059378007,0.47641509433962265,0,864,540,993,572,0,target,left
1763480492.4945128,-25.050037424406884,-179.98554068737886,16.666637283977433,0.613921568627451,0,855,558,982,590,0,target,left
1763480492.615915,-23.944739370283518,-179.8316919277875,16.376918431691088,0.6173076923076923,0,849,564,974,596,0,target,left
1763480492.7644029,-22.792044775917248,-179.38318610894447,16.642499360589323,0.6039215686274509,0,847,556,974,589,0,target,left
1763480492.919907,-24.25259829109163,179.1834904684869,17.33657167406667,0.6757692307692308,0,858,544,981,579,0,target,left
1763480493.053041,-21.769867386025027,-178.35948533037723,17.319072716335167,0.6731372549019607,0,884,513,1010,551,0,target,left
1763480493.193322,-17.4917351177318,-178.2608567973595,18.76537748834258,0.5788461538461538,0,944,528,1071,567,0,target,left
1763480493.358142,-13.874970207208234,-179.0068145934814,17.331257811762644,0.6214177978883861,0,979,485,1109,522,1,center,left
1763480493.521631,-18.572432175358575,-178.49339948728402,17.480268943822733,0.6568627450980392,0,1007,497,1137,535,1,center,left
1763480493.656894,-15.907199396178592,179.09017256730087,18.258347251800625,0.6533333333333333,1,1014,525,1142,563,1,center,left
1763480493.7973042,-17.074582319807412,-179.58124921785665,18.01533127895382,0.6531372549019607,0,1019,519,1145,558,1,center,left
1763480493.920901,-17.73772874029172,-178.27526606463027,17.514790473789734,0.64,0,1016,511,1142,549,1,center,left
1763480494.060873,-15.637353447966106,-178.5705607613595,16.999076149573703,0.6156122826489085,0,1007,500,1137,538,1,center,left
1763480494.188617,-15.679206951238918,-178.97002315844932,17.02756072277306,0.6764705882352942,0,1009,518,1141,557,1,center,left
1763480494.327231,-15.570422734536411,-179.39012593297545,16.989343181160404,0.6602564102564102,0,1007,515,1137,554,1,center,left
1763480494.457491,-14.677637052553852,-179.53334142245703,17.144379392486297,0.6274509803921569,0,1005,526,1135,563,1,gap,left
1763480494.591093,-14.847527751911462,-179.85437953603736,16.9303568041764,0.6538461538461539,0,1004,508,1133,545,1,gap,left
1763480494.722982,-16.841366626852583,-179.91649709127063,17.830280431435792,0.625,1,1001,509,1129,547,1,target,right
1763480494.859648,-16.180980355898214,-179.04132154611779,18.808294776847134,0.6635294117647059,1,997,510,1125,550,1,target,right
1763480494.993794,-18.275955218878988,-179.22410898347835,17.9012421224234,0.6469230769230769,1,985,492,1112,530,1,target,right
1763480495.1274471,-17.582534135108563,179.42199821539188,16.25026042821878,0.6057692307692308,0,935,485,1065,519,1,target,right
1763480495.257997,-14.165407201566016,179.4838171999124,12.787616133957028,0.650997150997151,1,863,470,998,498,1,target,right
1763480495.393661,-3.6123212489888186,-179.61748936762274,9.05233629907318,0.6511118598382749,1,785,468,925,488,1,target,right
1763480495.519955,7.451007165173242,-176.8132147828294,6.417560374352246,0.6742800397219464,0,719,467,853,483,1,target,right
1763480495.660804,5.098186608891448,-176.1188498954103,7.708784740056622,0.6989519945909398,0,688,461,826,480,1,target,right
1763480495.794199,8.40954938768129,-175.34329411229496,8.532929264779042,0.6803306342780027,0,679,455,815,477,1,target,right
1763480495.923336,7.208002134679001,-175.88009446207866,8.143308783102265,0.6843501326259946,0,672,452,806,472,1,target,right
1763480496.0590541,7.075857451527108,-176.2913633758071,8.788214514795998,0.692970822281167,0,674,453,808,474,1,target,right
1763480496.19344,4.8657196542590055,-177.99469296611653,9.090879238073912,0.6687306501547987,0,672,456,805,480,1,target,right
1763480496.3310342,2.4706940489160405,179.66569591201434,11.43306030832756,0.6413828689370484,0,694,435,825,467,2,center,right
1763480496.456467,-1.515918363537777,176.28635855246546,15.512932991877767,nan,0,nan,nan,nan,nan,2,center,right
1763480496.5950139,-2.249292344353478,175.87859898958493,17.137838118834576,0.6618589743589745,1,734,430,858,470,2,center,right
1763480496.728313,-2.8779464814558735,176.0199069911462,16.770684985709412,0.6818910256410255,1,743,438,868,477,2,center,right
